03-08-2022 10:05 >>>> Requête liste des justes; Liste des justes obtnus
03-08-2022 13:58 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 13:58 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 13:58 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:00 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:06 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:06 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:07 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:08 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:09 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:18 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
03-08-2022 14:18 >>>> Recherche profonde juste par identifiant effectuée; juste trouvé
